# chromA	startA	endA	chromB	startB	endB	breakpointCount
chr10	41856999	41915964	chr4	49091250	49156690	4118
chr3	93470360	93470730	chr4	49572297	49711894	3412
chr20	31051949	31244247	chr4	49091252	49156463	3359
chr17	22521367	22521430	chrM	1	16502	2848
chr4	49091293	49253541	chr5	49601095	49667248	2641
chr5	49600745	49667126	chrY	11493268	11748705	2363
chr5	49599436	49667114	chrY	10627270	11039518	2205
chr5	49599413	49666942	chrY	11292951	11330516	1934
chr14	16092175	16096479	chr3	93470359	93470742	1702
chr17	21855645	21991891	chr4	49091290	49156474	1600
chr3	93470361	93470722	chr8	43237611	43286778	1414
chr2	89813353	89841550	chr4	49091330	49156452	1257
chr2	89815873	89841081	chr5	49600473	49667201	1217
chr16	46380964	46414241	chr7	62299983	62455390	1211
chr10	41850525	41915816	chr5	49601100	49667245	980
chr17	76756294	83191088	chr2	32866732	32916562	833
chr10	41854249	41915847	chr20	31051980	31241883	824
chr10	41817042	41915486	chr4	49631198	49711560	811
chr16	82999706	90078144	chr2	32866719	32916600	796
chr20	30961318	31244262	chr5	49601093	49857266	780
chr13	62947705	63061713	chr17	22124735	22180085	775
chr13	16000266	16266063	chr20	28745002	29014073	727
chr20	31052345	31241871	chr4	49631410	49657961	722
chr19	281141	2770584	chr2	32866715	32916598	704
chr4	49631406	49657855	chr5	49601092	49667263	669
