# chromA	startA	endA	chromB	startB	endB	breakpointCount
chr13	62902464	62902464	chr14	64688843	64688843	1
chr13	62913169	62913169	chr14	75030384	75030384	1
chr13	62941108	62941108	chr14	98691960	98691960	1
chr13	62947956	62948272	chr14	73352486	73352486	2
chr13	62955485	62955485	chr14	19815650	19815650	1
chr13	62966842	62966842	chr14	66889785	66889785	1
chr13	62990367	62990367	chr14	82722158	82722158	1
chr13	62997937	62997937	chr14	91143291	91143291	1
chr13	63028239	63028239	chr14	88423670	88423670	1
chr13	63091583	63091583	chr14	67869582	67869582	1
chr13	63105918	63105918	chr14	86585064	86585064	1
chr13	63111396	63111396	chr14	95513313	95513313	1
chr13	62898955	62898955	chr15	22799937	22799937	1
chr13	62905359	62905359	chr15	34742385	34742385	1
chr13	62983528	62984819	chr15	77618526	77618529	3
chr13	63017879	63058304	chr15	54926030	54926033	2
chr13	63029621	63029621	chr15	49102919	49102919	1
chr13	63033863	63033863	chr15	91142157	91142157	1
chr13	63067135	63067135	chr15	55567048	55567048	1
chr13	63078115	63078115	chr15	66774874	66774874	1
chr13	62901785	62901785	chr16	9584406	9584406	1
chr13	62934265	62934265	chr16	46399790	46399790	1
chr13	62947980	62947980	chr16	80965204	80965204	1
chr13	62989713	62989713	chr16	35996237	35996237	1
chr13	63028335	63028335	chr16	25294835	25294835	1
chr13	63028530	63028530	chr16	34071802	34071802	1
chr13	63044203	63044203	chr16	82891578	82891578	1
chr13	63058363	63058363	chr16	18528971	18528971	1
chr13	63069248	63069248	chr16	53042385	53042385	1
chr13	63069469	63069469	chr16	6979286	6979286	1
chr13	63075639	63075639	chr16	16185166	16185166	1
chr13	63080964	63080964	chr16	33465972	33465972	1
chr13	63095845	63095845	chr16	54944917	54944917	1
chr13	62926311	62926311	chr17	4646695	4646695	1
chr13	62947705	63061713	chr17	22124735	22180085	775
chr13	62948071	62948071	chr17	16092649	16092649	1
chr13	62983809	62983809	chr17	60307089	60307089	1
chr13	62996455	62996455	chr17	14258244	14258244	1
chr13	63027434	63027434	chr17	18499186	18499186	1
chr13	63028776	63028776	chr17	82699612	82699612	1
chr13	63038724	63038724	chr17	12502026	12502026	1
chr13	63109155	63109155	chr17	6111202	6111202	1
chr13	62907241	62907241	chr18	50956103	50956103	1
chr13	62983504	62983775	chr18	63063675	63063680	2
chr13	63018202	63018202	chr18	1205523	1205523	1
chr13	63021828	63021828	chr18	54728876	54728876	1
chr13	63027560	63028377	chr18	22769914	22769914	3
chr13	63048363	63048363	chr18	49091083	49091083	1
chr13	63092920	63092920	chr18	62973624	62973624	1
chr13	63106661	63106661	chr18	12783526	12783526	1
chr13	62916075	62916075	chr19	8479753	8479753	1
chr13	62916271	62916271	chr19	46363318	46363318	1
chr13	63003641	63003641	chr19	20848514	20848514	1
chr13	63038643	63038643	chr19	14086231	14086231	1
chr13	63058094	63058094	chr19	16554820	16554820	1
chr13	63091185	63091185	chr19	49184922	49184922	1
chr13	62899129	62899129	chr2	72077293	72077293	1
