query_name	contig.id	bp.id	ref_name.Sa	is_primary.Sa	is_forward.Sa	left_gpos.Sa	right_gpos.Sa	left_rpos.Sa	right_rpos.Sa	ref_name.Sb	is_primary.Sb	is_forward.Sb	left_gpos.Sb	right_gpos.Sb	left_rpos.Sb	right_rpos.Sb
0483b3f7dad8ab620a5fff5ab68b66dd	1	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	474	3504	3978	14	TRUE	TRUE	471	1394	68683565	68684488
05407a56eb4300bdbe49c5ef96588b5f	2	1	14	TRUE	TRUE	0	280	68741414	68741694	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	279	340	3433	3494
0695a18373f6697af7cc58ae2da9e834	3	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	78	3900	3978	14	TRUE	TRUE	75	998	68683565	68684488
09ba6f22a5d9fbe729cac9a7aaa56468	4	1	14	TRUE	TRUE	0	1105	68740589	68741694	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	1104	1649	3433	3978
09ba6f22a5d9fbe729cac9a7aaa56468	4	2	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	1104	1649	3433	3978	14	FALSE	TRUE	1646	1879	68683565	68683798
0b75e936b47d336678cdb0f97d84a764	5	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	279	3699	3978	14	TRUE	TRUE	276	734	68683565	68684023
0c5386ddd80ee1202c8fef3d6c2b4858	6	1	14	TRUE	TRUE	0	676	68741018	68741694	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	675	1263	3433	4021
0eed832ff30ade4b744eb2395a6e3e14	7	1	14	FALSE	TRUE	0	326	68741368	68741694	gi|310698439|ref|NC_001526.2|	TRUE	TRUE	325	722	3433	3830
0ff982a077d0f30f4c7ec521a44ca504	8	1	gi|310698439|ref|NC_001526.2|	TRUE	TRUE	0	534	3444	3978	14	FALSE	TRUE	531	989	68683565	68684023
179ecc33bde8feb76fb96c47a97ec40b	9	1	14	TRUE	TRUE	0	64	68741630	68741694	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	63	103	3433	3473
1b328810facdf7410d44b3d1717991e3	10	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	54	3924	3978	14	TRUE	TRUE	51	974	68683565	68684488
1d6ad966f9938e0d63ffa26dce0092ed	11	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	523	3455	3978	14	TRUE	TRUE	520	1443	68683565	68684488
1ebd655b6a666d7439ecc4e101d482c1	12	1	14	FALSE	TRUE	0	134	68741560	68741694	gi|310698439|ref|NC_001526.2|	TRUE	TRUE	133	721	3433	4021
1ede35188f05b2eb0fb56acdcb755526	13	1	14	FALSE	TRUE	0	64	68741630	68741694	gi|310698439|ref|NC_001526.2|	TRUE	TRUE	63	1028	3433	4399
1f4244d1ad7fe12a22c948cbf2460e40	14	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	481	3497	3978	14	TRUE	TRUE	478	1401	68683565	68684488
2617b4d3cfa5316269627c8ee5224a96	15	1	14	FALSE	TRUE	0	103	68741591	68741694	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	102	647	3433	3978
2617b4d3cfa5316269627c8ee5224a96	15	2	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	102	647	3433	3978	14	TRUE	TRUE	644	1567	68683565	68684488
27d29f49e66d39ff6b724069465a2c93	16	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	254	3724	3978	14	TRUE	TRUE	251	704	68683565	68684018
27f3a480fd22ad4bf98b5cd450260f49	17	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	461	3517	3978	14	TRUE	TRUE	458	916	68683565	68684023
2acf14be991b81df14470d7be0b84e10	18	1	14	TRUE	TRUE	0	326	68741368	68741694	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	325	417	3433	3525
2bac7d17707377f495b530f91a27f4ab	19	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	254	3724	3978	14	TRUE	TRUE	251	1174	68683565	68684488
2bb125460db4f58172c3912cf3a06e8e	20	1	gi|310698439|ref|NC_001526.2|	TRUE	TRUE	0	625	291	916	14	FALSE	TRUE	682	789	68699685	68699792
2c34e27e1074a9da9013c182105b65fe	21	1	gi|310698439|ref|NC_001526.2|	TRUE	TRUE	0	761	155	916	14	FALSE	TRUE	818	1356	68699685	68700223
32e04e8d8d04effafccb69bf7e0b577d	22	1	gi|310698439|ref|NC_001526.2|	TRUE	TRUE	0	515	3463	3978	14	FALSE	TRUE	512	970	68683565	68684023
32fc3640dc0c3734e5b7da0cc481c056	23	1	gi|310698439|ref|NC_001526.2|	TRUE	TRUE	0	1133	2845	3978	14	FALSE	TRUE	1130	1588	68683565	68684023
369fdb73fbd82683fa9615326cf4cd9d	25	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	41	3937	3978	14	TRUE	TRUE	38	496	68683565	68684023
36e4c000cad0cfc9766271b6af7da8ca	26	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	618	3360	3978	14	TRUE	TRUE	615	1538	68683565	68684488
37dd08e452cfb33016294459a5c9211d	27	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	503	3475	3978	14	TRUE	TRUE	500	1423	68683565	68684488
37e68c622a4dd56dd43f3324b3668e46	28	1	gi|310698439|ref|NC_001526.2|	TRUE	TRUE	0	658	3320	3978	14	FALSE	TRUE	655	1108	68683565	68684018
399959646d558c6b8cd1abb700f1d991	29	1	gi|310698439|ref|NC_001526.2|	TRUE	TRUE	0	621	3357	3978	14	FALSE	TRUE	618	1076	68683565	68684023
3d1e5f7af8581058b37227a0fda3b4df	30	1	gi|310698439|ref|NC_001526.2|	TRUE	TRUE	0	523	3455	3978	14	FALSE	TRUE	520	978	68683565	68684023
42c39888af1387d8c8d2b06165b87c5b	32	1	14	FALSE	TRUE	0	103	68741591	68741694	gi|310698439|ref|NC_001526.2|	TRUE	TRUE	102	1365	3433	4697
431b4d14be28c2d4b7689b05a225934e	33	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	269	3709	3978	14	TRUE	TRUE	266	719	68683565	68684018
4331902524a4a5cc3fc62f61dc58123b	34	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	54	3924	3978	14	TRUE	TRUE	51	504	68683565	68684018
48df6263bb9cc5ece6217514f53a4e76	36	1	gi|310698439|ref|NC_001526.2|	FALSE	TRUE	0	461	3517	3978	14	TRUE	TRUE	458	1381	68683565	68684488
