query_name	ref_name	seq_len	start_spos	end_spos	start_rpos	end_rpos	is_reverse	is_primary
438048f3d98d2f6dfffba07fe28d9e9d	14	126	0	103	68741591	68741694	True	True
a7beab36efadedb799153a966c1d2d26	gi|310698439|ref|NC_001526.2|	1366	102	1365	3433	4697	True	True
a7beab36efadedb799153a966c1d2d26	14	104	0	103	68741591	68741694	True	False
37e68c622a4dd56dd43f3324b3668e46	gi|310698439|ref|NC_001526.2|	1109	0	658	3320	3978	True	True
37e68c622a4dd56dd43f3324b3668e46	14	454	655	1108	68683565	68684018	True	False
bbf9b9beb27f570bc441f7203e704f69	gi|310698439|ref|NC_001526.2|	1098	102	647	3433	3978	True	True
bbf9b9beb27f570bc441f7203e704f69	14	454	644	1097	68683565	68684018	True	False
bbf9b9beb27f570bc441f7203e704f69	14	104	0	103	68741591	68741694	True	False
51326eb07afa980ecc742df6b74ef769	14	730	276	729	68683565	68684018	True	True
51326eb07afa980ecc742df6b74ef769	gi|310698439|ref|NC_001526.2|	280	0	279	3699	3978	True	False
431b4d14be28c2d4b7689b05a225934e	14	720	266	719	68683565	68684018	True	True
431b4d14be28c2d4b7689b05a225934e	gi|310698439|ref|NC_001526.2|	270	0	269	3709	3978	True	False
27d29f49e66d39ff6b724069465a2c93	14	705	251	704	68683565	68684018	True	True
27d29f49e66d39ff6b724069465a2c93	gi|310698439|ref|NC_001526.2|	255	0	254	3724	3978	True	False
733bff1d44b04bdeab444d24e1d6141c	14	529	75	528	68683565	68684018	True	True
733bff1d44b04bdeab444d24e1d6141c	gi|310698439|ref|NC_001526.2|	79	0	78	3900	3978	True	False
b9001427e21d4ada231f81c507d242f1	14	513	59	512	68683565	68684018	True	True
b9001427e21d4ada231f81c507d242f1	gi|310698439|ref|NC_001526.2|	63	0	62	3916	3978	True	False
4331902524a4a5cc3fc62f61dc58123b	14	505	51	504	68683565	68684018	True	True
4331902524a4a5cc3fc62f61dc58123b	gi|310698439|ref|NC_001526.2|	55	0	54	3924	3978	True	False
efaf0f27bb128a8f8295d58ea00aabb4	14	504	50	503	68683565	68684018	True	True
efaf0f27bb128a8f8295d58ea00aabb4	gi|310698439|ref|NC_001526.2|	54	0	53	3925	3978	True	False
34162d41682a5d555d45d437f2855bd5	14	181	0	158	68741536	68741694	True	True
32fc3640dc0c3734e5b7da0cc481c056	gi|310698439|ref|NC_001526.2|	1589	0	1133	2845	3978	False	True
32fc3640dc0c3734e5b7da0cc481c056	14	459	1130	1588	68683565	68684023	False	False
61b30fba64c8befde4c0e5e73e965166	gi|310698439|ref|NC_001526.2|	1231	0	775	3203	3978	True	True
61b30fba64c8befde4c0e5e73e965166	14	459	772	1230	68683565	68684023	True	False
ef2860137068fdd00ae5987f765506a7	gi|310698439|ref|NC_001526.2|	1065	0	609	3369	3978	True	True
ef2860137068fdd00ae5987f765506a7	14	459	606	1064	68683565	68684023	True	False
d958ad1377f081506ffb9a731b18a6af	gi|310698439|ref|NC_001526.2|	1062	0	606	3372	3978	True	True
d958ad1377f081506ffb9a731b18a6af	14	459	603	1061	68683565	68684023	True	False
399959646d558c6b8cd1abb700f1d991	gi|310698439|ref|NC_001526.2|	1077	0	621	3357	3978	True	True
399959646d558c6b8cd1abb700f1d991	14	459	618	1076	68683565	68684023	True	False
f6c448efe961dbf4dc07be16f8c73185	gi|310698439|ref|NC_001526.2|	1031	0	575	3403	3978	True	True
f6c448efe961dbf4dc07be16f8c73185	14	459	572	1030	68683565	68684023	True	False
5dd8ccb247ff7cc8bbc5186a571e9796	gi|310698439|ref|NC_001526.2|	1326	325	870	3433	3978	False	True
5dd8ccb247ff7cc8bbc5186a571e9796	14	459	867	1325	68683565	68684023	False	False
5dd8ccb247ff7cc8bbc5186a571e9796	14	327	0	326	68741368	68741694	False	False
4feb096d365685a85f6385592877ed84	gi|310698439|ref|NC_001526.2|	1135	325	1134	3433	4243	False	True
4feb096d365685a85f6385592877ed84	14	327	0	326	68741368	68741694	False	False
c461d9240898cac6ab42c961c83eb107	gi|310698439|ref|NC_001526.2|	1001	0	545	3433	3978	True	True
c461d9240898cac6ab42c961c83eb107	14	459	542	1000	68683565	68684023	True	False
0ff982a077d0f30f4c7ec521a44ca504	gi|310698439|ref|NC_001526.2|	990	0	534	3444	3978	True	True
0ff982a077d0f30f4c7ec521a44ca504	14	459	531	989	68683565	68684023	True	False
3d1e5f7af8581058b37227a0fda3b4df	gi|310698439|ref|NC_001526.2|	979	0	523	3455	3978	True	True
3d1e5f7af8581058b37227a0fda3b4df	14	459	520	978	68683565	68684023	True	False
0eed832ff30ade4b744eb2395a6e3e14	gi|310698439|ref|NC_001526.2|	723	325	722	3433	3830	False	True
0eed832ff30ade4b744eb2395a6e3e14	14	327	0	326	68741368	68741694	False	False
e2e40e694ade307e75fc64c0a51ca246	gi|310698439|ref|NC_001526.2|	978	0	522	3456	3978	True	True
e2e40e694ade307e75fc64c0a51ca246	14	459	519	977	68683565	68684023	True	False
87a893dff857c9971fdd7e2c32f0dd9d	gi|310698439|ref|NC_001526.2|	711	325	710	3433	3818	False	True
87a893dff857c9971fdd7e2c32f0dd9d	14	327	0	326	68741368	68741694	False	False
8fad66ef20ae8815a45b80a8f939a456	14	623	0	326	68741368	68741694	False	True
8fad66ef20ae8815a45b80a8f939a456	gi|310698439|ref|NC_001526.2|	298	325	622	3433	3730	False	False
32e04e8d8d04effafccb69bf7e0b577d	gi|310698439|ref|NC_001526.2|	971	0	515	3463	3978	True	True
32e04e8d8d04effafccb69bf7e0b577d	14	459	512	970	68683565	68684023	True	False
7e13cf8e945ccecd19bfb3c124fbfb34	gi|310698439|ref|NC_001526.2|	953	0	497	3481	3978	True	True
7e13cf8e945ccecd19bfb3c124fbfb34	14	459	494	952	68683565	68684023	True	False
a469ba4694e8b325408126c44469d6e2	gi|310698439|ref|NC_001526.2|	959	0	503	3475	3978	True	True
a469ba4694e8b325408126c44469d6e2	14	459	500	958	68683565	68684023	True	False
7cc69528d5bba5cfd36878fb3eac99bf	gi|310698439|ref|NC_001526.2|	960	0	504	3474	3978	True	True
7cc69528d5bba5cfd36878fb3eac99bf	14	459	501	959	68683565	68684023	True	False
a3d31836e2f938d81fd0351848890cbf	gi|310698439|ref|NC_001526.2|	939	0	483	3495	3978	True	True
a3d31836e2f938d81fd0351848890cbf	14	459	480	938	68683565	68684023	True	False
f59653907e71129cb23ae771088dee70	14	573	0	326	68741368	68741694	False	True
f59653907e71129cb23ae771088dee70	gi|310698439|ref|NC_001526.2|	248	325	572	3433	3680	False	False
c9ac94586ccbc2c8a774ff9b57d49475	gi|310698439|ref|NC_001526.2|	930	0	474	3504	3978	True	True
c9ac94586ccbc2c8a774ff9b57d49475	14	459	471	929	68683565	68684023	True	False
6f3ef4d7df9e1960fbc58846e7682da6	gi|310698439|ref|NC_001526.2|	924	0	468	3510	3978	True	True
6f3ef4d7df9e1960fbc58846e7682da6	14	459	465	923	68683565	68684023	True	False
fed9373ff1e711e3ca171cb8f17254f4	gi|310698439|ref|NC_001526.2|	921	0	465	3513	3978	True	True
fed9373ff1e711e3ca171cb8f17254f4	14	459	462	920	68683565	68684023	True	False
9a6d5f6b9489f8371db4366dd98ed805	14	552	0	326	68741368	68741694	False	True
