# Gene expression analysis for TCGA-BA-4077-01 (../M_RSEM_Expression/dat/BED/TCGA-BA-4077-01B-01D-2268-08.AA.chr14.B.exons.stream.bed)
# Created 2017-03-30 15:02:14
integration.event	gene	stream	strand	chrom	start	end	p.value	up.regulated	FDR
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	ACTN1	upstream	-	14	69340841	69446083	0.03222	TRUE	0.08234
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	ARG2	downstream	-	14	68117869	68118198	0.98677	FALSE	0.98907
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	ARG2	upstream	+	14	68086579	68118434	0.00057	TRUE	0.006555
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	ATP6V1D	downstream	-	14	67803364	67826591	0.77009	TRUE	0.932214210526316
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	DCAF5	upstream	-	14	69517638	69619914	0.01876	TRUE	0.053935
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	EIF2S1	upstream	+	14	67827034	67853232	0.25086	TRUE	0.37964375
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	EXD2	downstream	+	14	69658246	69709071	0.00283	TRUE	0.013018
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	FAM71D	upstream	+	14	67665689	67667268	0.75313	TRUE	0.932214210526316
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	GALNT16	downstream	+	14	69726915	69821183	0.98907	TRUE	0.98907
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	MPP5	downstream	-	14	67761090	67778900	0.92921	TRUE	0.98907
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	MPP5	upstream	+	14	67708021	67802535	0.00178	TRUE	0.0125925
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	PIGH	downstream	-	14	68056023	68067017	0.00219	TRUE	0.0125925
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	PLEK2	downstream	-	14	67853700	67878828	0.01332	TRUE	0.05106
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	PLEKHH1	upstream	+	14	68008551	68056255	0.01728	TRUE	0.053935
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	RAD51B	downstream	+	14	68758601	69196935	0	TRUE	0
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	RAD51B	upstream	+	14	68286509	68354041	0.2641	TRUE	0.37964375
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	RDH11	downstream	-	14	68157857	68162510	0.05205	TRUE	0.109438181818182
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	RDH12	upstream	+	14	68189141	68201167	0.17488	FALSE	0.309403076923077
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	RP11-1012A1.4	downstream	-	14	68143521	68157138	0.05234	TRUE	0.109438181818182
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	TMEM229B	downstream	-	14	67936984	67982021	0.10573	TRUE	0.202649166666667
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	VTI1B	downstream	-	14	68120154	68141602	0.92763	TRUE	0.98907
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	ZFP36L1	upstream	-	14	69254375	69263190	0.71924	TRUE	0.932214210526316
TCGA-BA-4077-01B-01D-2268-08.AA.chr14	ZFYVE26	downstream	-	14	68213237	68283306	0.25935	FALSE	0.37964375
