# chromA	startA	endA	chromB	startB	endB	breakpointCount
chr10	41821058	41822005	chr11	48752083	48752096	7
chr10	41824130	41824130	chr11	50424019	50424019	1
chr10	41837009	41837009	chr11	53780401	53780401	1
chr10	41844954	41844954	chr11	71835392	71835392	1
chr10	41884129	41884129	chr11	35289669	35289669	1
chr10	41884328	41884328	chr11	85682558	85682558	1
chr10	41884878	41884878	chr11	22958423	22958423	1
chr10	41903476	41903476	chr11	127628657	127628657	1
chr10	41910719	41910719	chr11	123621933	123621933	1
chr10	41806319	41806319	chr12	129464806	129464806	1
chr10	41808786	41808786	chr12	37149749	37149749	1
chr10	41821801	41821895	chr12	37705094	37705105	2
chr10	41832924	41832924	chr12	54607396	54607396	1
chr10	41838904	41838904	chr12	60507312	60507312	1
chr10	41844095	41844095	chr12	103761777	103761777	1
chr10	41858759	41858759	chr12	106881874	106881874	1
chr10	41859147	41859147	chr12	54800071	54800071	1
chr10	41863283	41863283	chr12	112779648	112779648	1
chr10	41865965	41865965	chr12	131588559	131588559	1
chr10	41904371	41904371	chr12	7204526	7204526	1
chr10	41910597	41910597	chr12	23683849	23683849	1
chr10	41914556	41914556	chr12	88850360	88850360	1
chr10	41815790	41852587	chr13	17527282	17606069	2
chr10	41844927	41844927	chr13	70185444	70185444	1
chr10	41849169	41849169	chr13	80889220	80889220	1
chr10	41889259	41889259	chr13	76052523	76052523	1
chr10	41900856	41900856	chr13	23643604	23643604	1
chr10	41902886	41902886	chr13	60131676	60131676	1
chr10	41903740	41903740	chr13	87639494	87639494	1
chr10	41910957	41910957	chr13	84853982	84853982	1
chr10	41914577	41914577	chr13	47144937	47144937	1
chr10	41821318	41915498	chr14	16071719	16103765	9
chr10	41830540	41830540	chr14	23212889	23212889	1
chr10	41838378	41838378	chr14	39300243	39300243	1
chr10	41848355	41848355	chr14	36086397	36086397	1
chr10	41848460	41848460	chr14	73007444	73007444	1
chr10	41851979	41851979	chr14	103254230	103254230	1
chr10	41899757	41899757	chr14	56593906	56593906	1
chr10	41909844	41909844	chr14	86287259	86287259	1
chr10	41911035	41911035	chr14	57879992	57879992	1
chr10	41806847	41806847	chr15	27104222	27104222	1
chr10	41832502	41914605	chr15	17053518	17082256	10
chr10	41850693	41850693	chr15	60467695	60467695	1
chr10	41851694	41851694	chr15	46723015	46723015	1
chr10	41870736	41870736	chr15	81656625	81656625	1
chr10	41883761	41883761	chr15	63005446	63005446	1
chr10	41884093	41884093	chr15	41261128	41261128	1
chr10	41896348	41896348	chr15	18689918	18689918	1
chr10	41904028	41904028	chr15	92064535	92064535	1
chr10	41907008	41907008	chr15	86029219	86029219	1
chr10	41914650	41914650	chr15	77533709	77533709	1
chr10	41840083	41840083	chr16	36347466	36347466	1
chr10	41840935	41840935	chr16	36678496	36678496	1
chr10	41843055	41850675	chr16	34572636	34589565	3
chr10	41844942	41844942	chr16	52076092	52076092	1
chr10	41850347	41853370	chr16	46386457	46400198	3
chr10	41850680	41850680	chr16	34918616	34918616	1
chr10	41850694	41850694	chr16	214186	214186	1
chr10	41858360	41911688	chr16	34064187	34099103	27
chr10	41875111	41875111	chr16	31354391	31354391	1
chr10	41875120	41875120	chr16	59382117	59382117	1
chr10	41883127	41883127	chr16	19678509	19678509	1
chr10	41883546	41883546	chr16	2038402	2038402	1
chr10	41891789	41891789	chr16	47361661	47361661	1
chr10	41816312	41816312	chr17	47662451	47662451	1
chr10	41843212	41843212	chr17	25769688	25769688	1
chr10	41850081	41850081	chr17	59220882	59220882	1
chr10	41856985	41915816	chr17	21854982	21991698	392
chr10	41859275	41915492	chr17	26782726	26940772	27
chr10	41882536	41882536	chr17	58058214	58058214	1
chr10	41887890	41887890	chr17	35262387	35262387	1
chr10	41808039	41808039	chr18	17921553	17921553	1
chr10	41821406	41821406	chr18	15791420	15791420	1
chr10	41849234	41849234	chr18	13446646	13446646	1
chr10	41860882	41904358	chr18	52792775	52792776	2
chr10	41909362	41909362	chr18	11742402	11742402	1
chr10	41814481	41821020	chr19	24339534	24358283	2
chr10	41821638	41821642	chr19	27479492	27490113	2
chr10	41839896	41839896	chr19	24896122	24897682	2
chr10	41848142	41848142	chr19	49791244	49791244	1
chr10	41848496	41848496	chr19	6110872	6110872	1
chr10	41870837	41870837	chr19	17611166	17611166	1
chr10	41884567	41884567	chr19	41665248	41665248	1
chr10	41899249	41899249	chr19	13547256	13547256	1
chr10	41822309	41822309	chr2	94566076	94566076	1
chr10	41823639	41823639	chr2	132210389	132210389	1
chr10	41830609	41914981	chr2	32916270	32916500	5
chr10	41834234	41834234	chr2	199197656	199197656	1
chr10	41835439	41835439	chr2	150298209	150298209	1
chr10	41843511	41843511	chr2	91411903	91411903	1
chr10	41847100	41847100	chr2	190981003	190981003	1
chr10	41850666	41850666	chr2	88467826	88467826	1
chr10	41852678	41852678	chr2	38375838	38375838	1
chr10	41854340	41854340	chr2	169644714	169644714	1
chr10	41857023	41915816	chr2	89798961	89841096	523
chr10	41857416	41915150	chr2	109199329	109199767	44
chr10	41859902	41894382	chr2	90379545	90379582	7
chr10	41870709	41870709	chr2	196713008	196713008	1
chr10	41882021	41882021	chr2	65712205	65712205	1
chr10	41883127	41883127	chr2	234198498	234198498	1
chr10	41885385	41885385	chr2	148916577	148916577	1
chr10	41889096	41889096	chr2	196991097	196991097	1
chr10	41906861	41906861	chr2	223223003	223223003	1
chr10	41907697	41907697	chr2	114849992	114849992	1
chr10	41907793	41907793	chr2	188348827	188348827	1
chr10	41914604	41914604	chr2	153538311	153538311	1
chr10	41820848	41821948	chr20	30150669	30150669	4
chr10	41821197	41821197	chr20	30465947	30465947	1
chr10	41821314	41821314	chr20	28916865	28916865	1
chr10	41821563	41821994	chr20	26524356	26574667	4
chr10	41824087	41824087	chr20	29243166	29243166	1
chr10	41828208	41828208	chr20	29854319	29854319	1
chr10	41853631	41853631	chr20	61272378	61272378	1
chr10	41854249	41915847	chr20	31051980	31241883	824
chr10	41854835	41854835	chr20	47914899	47914899	1
chr10	41877728	41877728	chr20	58403264	58403264	1
chr10	41809071	41883127	chr21	7205745	7260108	4
chr10	41815967	41815967	chr21	5392323	5392323	1
chr10	41820683	41915483	chr21	7922726	8020450	78
chr10	41821945	41915816	chr21	10652684	10812225	150
chr10	41871181	41871181	chr21	37418802	37418802	1
chr10	41877913	41877913	chr21	36270203	36270203	1
chr10	41902583	41902583	chr21	33400011	33400011	1
chr10	41904656	41904656	chr21	44847247	44847247	1
chr10	41904946	41904946	chr21	9320521	9320521	1
chr10	41813151	41821579	chr22	11217629	11235330	4
chr10	41858340	41914615	chr22	16347188	16359797	43
chr10	41858422	41904942	chr22	11809904	11809920	2
chr10	41866691	41915816	chr22	10718203	10729258	11
chr10	41901360	41901360	chr22	38643521	38643521	1
chr10	41909411	41909411	chr22	12182099	12182099	1
chr10	41817330	41817330	chr3	10250730	10250730	1
chr10	41821747	41821747	chr3	90269263	90269263	1
chr10	41829901	41829901	chr3	173077593	173077593	1
chr10	41831534	41831534	chr3	92060050	92060050	1
chr10	41839146	41839146	chr3	93330021	93330021	1
chr10	41847005	41847005	chr3	44581018	44581018	1
chr10	41848826	41848826	chr3	27243742	27243742	1
chr10	41882113	41882113	chr3	130748784	130748784	1
chr10	41883902	41883902	chr3	129218969	129218969	1
chr10	41884668	41884668	chr3	182022612	182022612	1
chr10	41887066	41887066	chr3	36619966	36619966	1
chr10	41889132	41889132	chr3	16573884	16573884	1
chr10	41889172	41889172	chr3	89615290	89615290	1
chr10	41890662	41890662	chr3	11922421	11922421	1
chr10	41891904	41891904	chr3	127085933	127085933	1
chr10	41897831	41897831	chr3	84034367	84034367	1
chr10	41898160	41898160	chr3	99322578	99322578	1
chr10	41902010	41902010	chr3	48510162	48510162	1
